partido_nombre,candidato_nombre
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,GLORIA ISABEL ZARATE DEVIA
PARTIDO ECOLOGISTA COLOMBIANO,CLAUDIA PATRICIA TOLEDO CAMACHO
PARTIDO ECOLOGISTA COLOMBIANO,PAULA CLARETH CUELLAR HERNANDEZ
PARTIDO CENTRO DEMOCRÁTICO,ARLEDY ALVARADO PATIÑO
PARTIDO CENTRO DEMOCRÁTICO,ALVARO YESID MARIÑO ALVAREZ
PARTIDO CENTRO DEMOCRÁTICO,WILMER GARCES JUEZ
ALMA CASANARE,LILIANA PAOLA TORRES TORRES
ALMA CASANARE,PEDRO GUILLERMO TORRES IBARRA
ALMA CASANARE,MELQUISEDEC TEJADA JIMENEZ
ALIANZA POR CASANARE,DIEGO FERNANDO GARCIA ALFONSO
ALIANZA POR CASANARE,DAIMER FABIAN CORDERO ESCOBAR
ALIANZA POR CASANARE,DIANA YULIETHE RINCON LEGUIZAMON
PARTIDO CAMBIO RADICAL,AMANDA ROCIO GONZALEZ RODRIGUEZ
PARTIDO CAMBIO RADICAL,INGRID AMANDA SANCHEZ SARAVIA
PARTIDO CAMBIO RADICAL,HECTOR ARBEY VACCA BOHORQUEZ
PACTO HISTÓRICO - CASANARE,ELFAR DANILO LEAL GALINDO
PACTO HISTÓRICO - CASANARE,LUZ ANACLOVIS SUESCUN GALVIS
PARTIDO POLÍTICO MIRA,LUZ STELLA PARRA FRANCO
COALICIÓN FUERZA CIUDADANA,VIRGINIA BRIYITH CALDERON LANDINEZ
COALICIÓN FUERZA CIUDADANA,JUAN ALEJANDRO ROSAS SALAMANCA
COALICIÓN FUERZA CIUDADANA,CRISTHIAN ROBERTO SILVA SOLANO
PARTIDO DEL TRABAJO DE COLOMBIA,LINA PATRICIA VEGA ORDUZ
PARTIDO DEL TRABAJO DE COLOMBIA,JHON SEBASTIAN MORALES SANCHEZ
PARTIDO DEL TRABAJO DE COLOMBIA,GILBERTO ADOLFO VARGAS LAVERDE
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,CARLOS GUMERCINDO DE LA PEÑA DURAN
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,MARIA JOSE MURGAS LACOUTURE
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,EDULFO VILLAR ESTRADA
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,RAUL FERNANDO MACHADO LUNA
PARTIDO CONSERVADOR COLOMBIANO,ALFREDO APE CUELLO BAUTE
PARTIDO CONSERVADOR COLOMBIANO,KALEB VILLALOBOS BROCHEL
PARTIDO CONSERVADOR COLOMBIANO,LIBARDO CRUZ CASADO
PARTIDO CONSERVADOR COLOMBIANO,CELENIA PATRICIA ACOSTA MADARIAGA
PACTO HISTÓRICO CESAR,ALEXANDRA PINEDA ORTIZ
PACTO HISTÓRICO CESAR,ALEXIS LACOUTURE TABARES
PACTO HISTÓRICO CESAR,THAIS ALOMA RUIZ DAZA
PACTO HISTÓRICO CESAR,LUIS ALFONSO SANGUINO ACOSTA
PARTIDO LIBERAL COLOMBIANO,MELLO CASTRO GONZALEZ
PARTIDO LIBERAL COLOMBIANO,ISRAEL OBREGON ROPERO
PARTIDO LIBERAL COLOMBIANO,LUZ HELENA SALAZAR LOPEZ
PARTIDO LIBERAL COLOMBIANO,DARLING FRANCISCA GUEVARA GOMEZ
PARTIDO CENTRO DEMOCRÁTICO,GILMA ROSA GOMEZ URDIALES
PARTIDO CENTRO DEMOCRÁTICO,ARCADIO RAMIRO DAZA NUÑEZ
PARTIDO CENTRO DEMOCRÁTICO,OSCAR DAVID SANCHEZ VARILLA
AHORA COLOMBIA,LUZVY CELENA CALDERON CALDERON
AHORA COLOMBIA,RAFAEL ESCALONA TOVAR
AHORA COLOMBIA,FERNANDO JOSE CORDOBA
AHORA COLOMBIA,LEON ZAMBRANO QUIROZ
PARTIDO COLOMBIA JUSTA LIBRES,ROBERTO CARLOS MARIN FONSECA
PARTIDO COLOMBIA JUSTA LIBRES,MARITZA OROZCO MAESTRE
FRENTE AMPLIO DEL CESAR,OMAR ENRIQUE BENJUMEA OSPINO
FRENTE AMPLIO DEL CESAR,LINA MARIA DE ARMAS DAZA
FRENTE AMPLIO UNITARIO,RONALD ENRRIQUE ARENILLAS MANJARRES
FRENTE AMPLIO UNITARIO,ALBA CECILIA CARO BAENA
FRENTE AMPLIO UNITARIO,CARLOS ALBERTO ARREDONDO TORRES
FRENTE AMPLIO UNITARIO,MARTIN SEGUNDO CASTILLO ALVAREZ
PARTIDO CONSERVADOR COLOMBIANO,MARIA CAMILA SALAS SALAS
PARTIDO CONSERVADOR COLOMBIANO,MARIA PAULA CABALLERO PORTO
PARTIDO CONSERVADOR COLOMBIANO,ALONSO JOSE DEL RIO CABARCAS
PARTIDO CONSERVADOR COLOMBIANO,JULIANA ARAY FRANCO
PARTIDO CONSERVADOR COLOMBIANO,ANDRES GUILLERMO MONTES CELEDON
PARTIDO CONSERVADOR COLOMBIANO,MIGUEL ALFONSO MONTES CURI
PARTIDO LIBERAL COLOMBIANO,SILVIO JOSE CARRASQUILLA TORRES
PARTIDO LIBERAL COLOMBIANO,YOLANDA WONG BALDIRIS
PARTIDO LIBERAL COLOMBIANO,MAYRA ALEJANDRA ORTEGA TATIS
PARTIDO LIBERAL COLOMBIANO,DAIRO JOSE BUSTILLO GOMEZ
PARTIDO LIBERAL COLOMBIANO,JOSE LUIS OSORIO GALVIS
CENTRO DEMOCRÁTICO-MIRA,JOSE RICARDO ARDILA PINEDO
CENTRO DEMOCRÁTICO-MIRA,MARTA ELENA ARRAZOLA PINEDA
CENTRO DEMOCRÁTICO-MIRA,SHIRLEY SANJUAN BERROCAL
CENTRO DEMOCRÁTICO-MIRA,FABIO ORLANDO MENDOZA BARRETO
CENTRO DEMOCRÁTICO-MIRA,KARELIS CAROLINA CARABALLO SALINAS
CENTRO DEMOCRÁTICO-MIRA,SONIA MARIA DEL SOCORRO VILLA LASCARRO
PACTO HISTÓRICO BOLÍVAR,AMAURY JULIO PEREZ
PACTO HISTÓRICO BOLÍVAR,COLOMBIA ESPERANZA ADUEN BRAY
PACTO HISTÓRICO BOLÍVAR,YHONY JOSE HERNANDEZ AGUAS
PACTO HISTÓRICO BOLÍVAR,YESSICA PAOLA BLANCO TORRES
PACTO HISTÓRICO BOLÍVAR,VIVIANO TORRES GUTIERREZ
COALICIÓN ALIANZA VERDE - ASI - U - PTC,STEPHANNY GALEANO URZOLA
COALICIÓN ALIANZA VERDE - ASI - U - PTC,JULIO CESAR ARIAS FLOREZ
COALICIÓN ALIANZA VERDE - ASI - U - PTC,KARINA ISABEL OROZCO AREVALO
COALICIÓN ALIANZA VERDE - ASI - U - PTC,CARMEN JULIA MIRANDA MORALES
COALICIÓN ALIANZA VERDE - ASI - U - PTC,JOSE GUSTAVO PLATA CARDENAS
COALICIÓN ALIANZA VERDE - ASI - U - PTC,ORLANDO RAFAEL ARRIETA NUÑEZ
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,DAVID ALFONSO MUNERA CAVADIA
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,ROSALBA ARRIETA CASTILLA
PARTIDO POLÍTICO ESPERANZA DEMOCRÁTICA,ERNESTO JOSE FADUL CHAPARRO
PARTIDO POLÍTICO ESPERANZA DEMOCRÁTICA,ANA MARIA RODRIGUEZ ORTIZ
PARTIDO POLÍTICO ESPERANZA DEMOCRÁTICA,JOSE POLO PUELLO
PARTIDO POLÍTICO ESPERANZA DEMOCRÁTICA,ROLANDO GARCIA ALFARO
PARTIDO POLÍTICO ESPERANZA DEMOCRÁTICA,LEONIS DEL CARMEN VARGAS REYES
COALICIÓN FUERZA CIUDADANA,GLADYS ESTER MONTES MANJARRES
COALICIÓN FUERZA CIUDADANA,FRANCISCO MANUEL PINEDA BELTRAN
COALICIÓN FUERZA CIUDADANA,YARADNY JULIO MARRIAGA
COALICIÓN FUERZA CIUDADANA,MARCOS LUIS TOUS DEL TORO
COALICIÓN FUERZA CIUDADANA,HORACIO JARAMILLO GOENAGA
COALICIÓN FUERZA CIUDADANA,ROBIN CALET VILLEGAS SANCHEZ
PARTIDO NUEVO LIBERALISMO,ROBERTO CARLOS FUENTES DEL TORO
PARTIDO NUEVO LIBERALISMO,KAREN PAOLA RODRIGUEZ BUELVAS
PARTIDO NUEVO LIBERALISMO,EZEQUIEL BUELVAS VEGA
PARTIDO NUEVO LIBERALISMO,SANDRA MILENA ACOSTA COLON
PARTIDO NUEVO LIBERALISMO,VLASDIVIR HERNANDEZ CARDONA
PARTIDO CAMBIO RADICAL,NESTOR LEONARDO RICO RICO
PARTIDO CAMBIO RADICAL,WILLIAM EVERARDO TAMAYO DONOSO
PARTIDO CAMBIO RADICAL,LUZ MARINA GAITAN MAHECHA
PARTIDO CAMBIO RADICAL,JOSEFA VIVIANA MENDEZ TELLEZ
PARTIDO CAMBIO RADICAL,JULIANA ANDREA GONZALEZ RODRIGUEZ
PARTIDO CAMBIO RADICAL,IVAN DARIO PARRADO DIAZ
PARTIDO CAMBIO RADICAL,ELIANA MARGARITA RAMIREZ ARENAS
MOVIMIENTO POLÍTICO PACTO HISTÓRICO,HEINER DE JESUS GAITAN PARRA
MOVIMIENTO POLÍTICO PACTO HISTÓRICO,FRANCY NATALIA MORENO PUIN
MOVIMIENTO POLÍTICO PACTO HISTÓRICO,YEISSON GERARDO SUA CAJAMARCA ZAPATA
MOVIMIENTO POLÍTICO PACTO HISTÓRICO,RUBI DANIELA VEGA SOTELO
MOVIMIENTO POLÍTICO PACTO HISTÓRICO,DANIEL ANDRES VELASQUEZ MANTILLA
MOVIMIENTO POLÍTICO PACTO HISTÓRICO,ALBA MARIA ORTIZ SIERRA
MOVIMIENTO POLÍTICO PACTO HISTÓRICO,JOSE RENE LOPEZ CALDERON
PARTIDO LIBERAL COLOMBIANO,CAMPO ALEXANDER PRIETO GARCIA
PARTIDO LIBERAL COLOMBIANO,JEISON ALBERTO AREVALO ROJAS
PARTIDO LIBERAL COLOMBIANO,NESTOR IVAN PAREDES NARVAEZ
PARTIDO LIBERAL COLOMBIANO,EDGAR CRUZ GARCIA
PARTIDO LIBERAL COLOMBIANO,DIANA CAROLINA LOPEZ SANCHEZ
PARTIDO LIBERAL COLOMBIANO,JENIFFER DAMARYS PINZON RUBIANO
PARTIDO LIBERAL COLOMBIANO,DORA CECILIA MURCIA SANCHEZ
CENTRO DEMOCRÁTICO - MIRA,HILDA GUTIERREZ
CENTRO DEMOCRÁTICO - MIRA,NYDIA YOLIMA CORREDOR HERNANDEZ
CENTRO DEMOCRÁTICO - MIRA,EDWIN ORLANDO LEON MONTERO
CENTRO DEMOCRÁTICO - MIRA,ORLANDO ALFONSO CLAVIJO CLAVIJO
CENTRO DEMOCRÁTICO - MIRA,DANIA MARITZA ALVAREZ BARRERA
CENTRO DEMOCRÁTICO - MIRA,JULIO CESAR DELGADILLO RODRIGUEZ
CENTRO DEMOCRÁTICO - MIRA,DARLIN LENIS ESPITIA
PARTIDO DE LA U - PARTIDO ECOLOGISTA COLOMBIANO,LUIS ROBERTO GONZALEZ PEÑALOZA
PARTIDO DE LA U - PARTIDO ECOLOGISTA COLOMBIANO,VICTOR ANDRES PINZON MORA
PARTIDO DE LA U - PARTIDO ECOLOGISTA COLOMBIANO,ALBA ROCIO GARCIA GOMEZ
PARTIDO DE LA U - PARTIDO ECOLOGISTA COLOMBIANO,DIVIER RODRIGO RODRIGUEZ
PARTIDO DE LA U - PARTIDO ECOLOGISTA COLOMBIANO,BRIYITH MARGARETH MONCADA SANCHEZ
PARTIDO DE LA U - PARTIDO ECOLOGISTA COLOMBIANO,LUZ DARY RONDON VARGAS
PARTIDO DE LA U - PARTIDO ECOLOGISTA COLOMBIANO,KEVIN ALEJANDRO PEREZ REY
PARTIDO CONSERVADOR COLOMBIANO,JULIO ROBERTO SALAZAR PERDOMO
PARTIDO CONSERVADOR COLOMBIANO,LUIS KAROL LEON VARGAS
PARTIDO CONSERVADOR COLOMBIANO,EDISON ELIECER CUELLAR PACHON
PARTIDO CONSERVADOR COLOMBIANO,JULY ESPERANZA GONZALEZ GOMEZ
PARTIDO CONSERVADOR COLOMBIANO,JUAN PABLO OBREGON ROJAS
PARTIDO CONSERVADOR COLOMBIANO,ANDREA DEL PILAR BORJA CHAPARRO
PARTIDO CONSERVADOR COLOMBIANO,YERALDINE SANCHEZ CRUZ
PARTIDO DEMÓCRATA COLOMBIANO,DANIEL FELIPE BERNAL MONTEALEGRE
PARTIDO DEMÓCRATA COLOMBIANO,JAIME TORRES SUAREZ
PARTIDO DEMÓCRATA COLOMBIANO,WILKINSON ALFONSO FLORIDO ALVAREZ
PARTIDO DEMÓCRATA COLOMBIANO,GUILLERMO GUTIERREZ CRUZ
PARTIDO DEMÓCRATA COLOMBIANO,TANIA ALEJANDRA RODRIGUEZ CACHAYA
PARTIDO DEMÓCRATA COLOMBIANO,PAULA ANDREA LOPEZ PULIDO
PARTIDO DEMÓCRATA COLOMBIANO,NIDYA XIOMARA ROMERO BOLAÑOS
PARTIDO ALIANZA VERDE,WILSON LEONAR GARCIA FAJARDO
PARTIDO ALIANZA VERDE,PIEDAD GUZMAN LAMPREA
PARTIDO ALIANZA VERDE,JHON JAIRO HORTUA VILLALBA
PARTIDO ALIANZA VERDE,ANGELICA VIVIANA SAENZ CARDENAS
PARTIDO ALIANZA VERDE,JULIO MARIO VASQUEZ OCHOA
PARTIDO ALIANZA VERDE,OSCAR MAURICIO SANCHEZ CRUZ
PARTIDO ALIANZA VERDE,LAURA CAMILA VASQUEZ BELTRAN
SALVACIÓN+ALMA+OXÍGENO,EDNA LILIANA REYES RODRIGUEZ
SALVACIÓN+ALMA+OXÍGENO,ROOSEVELT HERNAN FERIA NIETO
SALVACIÓN+ALMA+OXÍGENO,DIANA MILENA DIAZ ESTUPIÑAN
SALVACIÓN+ALMA+OXÍGENO,YANCLY ESCOBAR SIERRA
SALVACIÓN+ALMA+OXÍGENO,LUIS ALFREDO RINCON BAYONA
SALVACIÓN+ALMA+OXÍGENO,SERGIO ALEJANDRO MALAVER RAMIREZ
SALVACIÓN+ALMA+OXÍGENO,MIREYA MARIA OCHOA RIAÑO
PARTIDO NUEVO LIBERALISMO,RAFAEL SANABRIA DIAZ
PARTIDO NUEVO LIBERALISMO,SANDRA CECILIA DONOSO MENDEZ
PARTIDO NUEVO LIBERALISMO,ERIK FERNANDO MUÑOZ SANCHEZ
FRENTE AMPLIO UNITARIO,MARIA FERNANDA SOCHA PUENTES
FRENTE AMPLIO UNITARIO,JORGE FORERO RIVERA
FRENTE AMPLIO UNITARIO,ANA JULIA CUBILLOS MUNCA
FRENTE AMPLIO UNITARIO,JHONNY ALEXANDER SALAMANCA SEGURA
FRENTE AMPLIO UNITARIO,FABIO ALBERTO GIL BOLIVAR
FRENTE AMPLIO UNITARIO,VICTORIA HELENA DURAN RIVERA
FRENTE AMPLIO UNITARIO,NELSON JAVIER MATALLANA MORENO
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,GERMAN MAURICIO ESCOBAR LATORRE
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,YEILOR RAFAEL ESPINEL TORRES
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,JOHN FREDY CHIGUASUQUE CHIGUASUQUE
PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,AMY VALENTINA REINA MAYORGA
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,DIANA CAROLINA RIVEROS PAEZ
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,JOSE JULIAN AMAYA CABELLOS
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,EDWIN ALFREDO GONZALEZ RANGEL
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,CARMEN YULEIDA CARVAJALINO AMAYA
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,FANNY LILIANA YAÑEZ MENDOZA
PARTIDO CONSERVADOR COLOMBIANO,CIRO ANTONIO RODRIGUEZ PINZON
PARTIDO CONSERVADOR COLOMBIANO,JOSE LUIS DUARTE CONTRERAS
PARTIDO CONSERVADOR COLOMBIANO,MARIA ALEJANDRA NUÑEZ PEÑARANDA
PARTIDO CONSERVADOR COLOMBIANO,NELLY DEL ROSARIO OSORIO BARBOSA
PARTIDO LIBERAL COLOMBIANO,LUIS ARIEL FRANCISCO RODRIGUEZ BELTRAN
PARTIDO LIBERAL COLOMBIANO,JAZLIN ESTHER RESLEN TAPIA
PARTIDO LIBERAL COLOMBIANO,CARMEN DAVID QUINTERO GELVEZ
PARTIDO LIBERAL COLOMBIANO,RAMON ELI TAMARA RIVERA
PARTIDO LIBERAL COLOMBIANO,LIGIA ALEXANDRA GAMBOA GUERRERO
COALICIÓN VERDE - EN MARCHA- LA FUERZA,KATERIN MARIETH GALVAN QUINTERO
COALICIÓN VERDE - EN MARCHA- LA FUERZA,JAIRO TOMAS YAÑEZ RODRIGUEZ
COALICIÓN VERDE - EN MARCHA- LA FUERZA,ALBEIRO BOHORQUEZ MANRIQUE
COALICIÓN VERDE - EN MARCHA- LA FUERZA,JOSE EDWARD MALPICA LIZARAZO
COALICIÓN VERDE - EN MARCHA- LA FUERZA,SILVIA JOHANNA RINCON HERNANDEZ
PARTIDO CAMBIO RADICAL,EIMY JULIETH SUAREZ GONZALEZ
PARTIDO CAMBIO RADICAL,OLGUIN MAYORGA PEREZ
PARTIDO CAMBIO RADICAL,OSCAR MOISES MONTES ARARAT
PARTIDO CAMBIO RADICAL,FANY ESPERANZA CONTRERAS CASTRO
PARTIDO CAMBIO RADICAL,JUAN YENID SUAREZ GOMEZ
PARTIDO CENTRO DEMOCRÁTICO,JUAN FELIPE CORZO ALVAREZ
PARTIDO CENTRO DEMOCRÁTICO,JAIME RICARDO MARTHEY TELLO
PARTIDO CENTRO DEMOCRÁTICO,LAUDELINA PEREZ SOLANO
PARTIDO CENTRO DEMOCRÁTICO,JULIANA ALVARADO ROMERO
PARTIDO CENTRO DEMOCRÁTICO,MARLON CHACON GARNICA
PACTO HISTÓRICO NORTE DE SANTANDER,JAIME ALBERTO GOMEZ MONTAÑEZ
PACTO HISTÓRICO NORTE DE SANTANDER,LILIANA BARRAGAN DIAZ
PACTO HISTÓRICO NORTE DE SANTANDER,OSWALDO ANDRES OBANDO JIMENEZ
PACTO HISTÓRICO NORTE DE SANTANDER,LAURA CRISTINA AMAYA QUINTERO
PACTO HISTÓRICO NORTE DE SANTANDER,LUIS ALBERTO GARCIA GARCIA
MOVIMIENTO SALVACIÓN NACIONAL,CRISTIAN ANTONIO BOHORQUEZ GALVIZ
MOVIMIENTO SALVACIÓN NACIONAL,JHAN ELER PEÑALOZA DELGADO
MOVIMIENTO SALVACIÓN NACIONAL,EDNA PATRICIA CASALLAS ORTEGON
PARTIDO NUEVO LIBERALISMO,JAIME CASTILLA VERJEL
PARTIDO NUEVO LIBERALISMO,VALENTINA GOMEZ NEIRA
PARTIDO NUEVO LIBERALISMO,CARLOS ALBERTO CASTRO SANCHEZ
PARTIDO NUEVO LIBERALISMO,OSCAR ANGARITA VEGA
PARTIDO NUEVO LIBERALISMO,MARLYN MILDRETH MISSE MARTINEZ
MIRA + DIGNIDAD Y COMPROMISO,MIGUEL FRANCISCO URIBE CENTANARO
MIRA + DIGNIDAD Y COMPROMISO,JANELY'S MILETH GARCIA PEREZ
MIRA + DIGNIDAD Y COMPROMISO,JOSE RAFAEL ESPINEL PAEZ
MIRA + DIGNIDAD Y COMPROMISO,YULEISI ACOSTA RODRIGUEZ
MIRA + DIGNIDAD Y COMPROMISO,JOHN EDUARDO PEÑA MEZA
MOVIMIENTO AGRARIO COLOMBIANO,CARLOS ANDRES LATORRE ARAQUE
MOVIMIENTO AGRARIO COLOMBIANO,LEYDA MILENA RIVERA LIZARAZO
MOVIMIENTO AGRARIO COLOMBIANO,DIEGO FERNANDO SUAREZ SANCHEZ
PARTIDO COLOMBIA RENACIENTE,MIGUEL ANGEL FLOREZ LEAL
PARTIDO COLOMBIA RENACIENTE,BERNALDA CASTILLO LINARES
PARTIDO CONSERVADOR COLOMBIANO,JUAN LORETO GOMEZ SOTO
PARTIDO CONSERVADOR COLOMBIANO,LAID DEL SOCORRO DIAZ FRIAS
PARTIDO CONSERVADOR COLOMBIANO,RONAL JAVIER GUERRA VANEGAS
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,PABLO PARRA CORDOBA
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,JORGE ARMANDO FIGUEROA ANGARITA
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,HORTENCIA GUILLERMINA BERNIER SANCHEZ
PACTO HISTÓRICO GUAJIRA,LIMBANO ALFONSO DIAZ HERNANDEZ
PACTO HISTÓRICO GUAJIRA,DELIA LLORELA ROYS MENGUAL
PACTO HISTÓRICO GUAJIRA,DANILO JOSE DE ARMAS IPUANA
PARTIDO POLÍTICO LA FUERZA,MANUEL SEGUNDO ROSADO OJEDA
PARTIDO POLÍTICO LA FUERZA,KETTY JUDITH TORRES MENDOZA
PARTIDO POLÍTICO LA FUERZA,KENDRYS PATRICIA DIAZ PAZ
PARTIDO CENTRO DEMOCRÁTICO,LUANA XIMENA MOSCOTE ATENCIO
PARTIDO CENTRO DEMOCRÁTICO,ANA MARIA URIBE ORREGO
PARTIDO CENTRO DEMOCRÁTICO,HERNAN DARIO GARCIA LOPEZ
COALICIÓN FUERZA CIUDADANA,CARLOS ALBERTO LOPEZ HERNANDEZ
COALICIÓN FUERZA CIUDADANA,KEYRIS CAROLINA VALLE SALAZAR
AHORA COLOMBIA,LUIS MIGUEL RIVADENEIRA MENDOZA
AHORA COLOMBIA,MARBELYS ISOBELCHT MONTIEL IGUARAN
PARTIDO COLOMBIA JUSTA LIBRES,MARIA CONCEPCION PANA ANDRIOLY
PARTIDO COLOMBIA JUSTA LIBRES,PABLO ANTONIO BARRERA CARRILLO
PARTIDO COLOMBIA JUSTA LIBRES,ALEXANDER ROBERTO BRITO DE LUQUE
PARTIDO POLÍTICO OXÍGENO,YOHAN ENRIQUE REDONDO MARTINEZ
PARTIDO POLÍTICO OXÍGENO,NELSON YUNIOR PLATA REDONDO
PARTIDO POLÍTICO OXÍGENO,DAISY ANDREA SANCHEZ CUDRIS
PARTIDO CONSERVADOR COLOMBIANO,GUILLERMO LEON BLANCO VALENCIA
PARTIDO CONSERVADOR COLOMBIANO,LINA MARIA BARRERA RUEDA
PARTIDO CONSERVADOR COLOMBIANO,HENRY RIAÑO CASTILLO
PARTIDO CONSERVADOR COLOMBIANO,JUAN CARLOS OROZCO GOMEZ
PARTIDO CONSERVADOR COLOMBIANO,SILVIA NATALIA FANDIÑO ARDILA
PARTIDO CONSERVADOR COLOMBIANO,JAIME HERNANDEZ JIMENEZ
PARTIDO CONSERVADOR COLOMBIANO,MARIA DEL CARMEN MEZA ARQUEZ
PARTIDO CENTRO DEMOCRÁTICO,MIGUEL ANGEL PINTO RUEDA
PARTIDO CENTRO DEMOCRÁTICO,JONATHAN EDUARDO PINEDA LOPEZ
PARTIDO CENTRO DEMOCRÁTICO,SERGIO ERNESTO ARENAS CASTELLANOS
PARTIDO CENTRO DEMOCRÁTICO,MAURICIO MARTINEZ TRIANA
PARTIDO CENTRO DEMOCRÁTICO,LEONOR PATRICIA CELIS APONTE
PARTIDO CENTRO DEMOCRÁTICO,LIGIA MIREYA MUÑOZ ARGUELLO
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,SERGIO ISNARDO MUÑOZ VILLARREAL
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,DIEGO FRAN ARIZA PEREZ
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,JULIAN ANDRES FONSECA BERMUDEZ
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,LUZ ELENA RODRIGUEZ SANCHEZ
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,OSCAR MIGUEL JOYA ARENALES
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,FRANCY ELENA ALVAREZ OSPINO
PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,YULEXY JUDITH VILLAMIZAR VEGA
CR-ASI-CJL,JUAN CARLOS CELIS PAEZ
CR-ASI-CJL,ANGELICA MARIA MATEUS SANTAMARIA
CR-ASI-CJL,ERWIN JIMENEZ BECERRA
CR-ASI-CJL,EDWIN GILBERTO BALLESTEROS ARCHILA
CR-ASI-CJL,ERIKA JOHANA GOMEZ DELGADO
CR-ASI-CJL,LUZ MARINA TOLOZA ROJAS
CR-ASI-CJL,JOSE ALBERTO CALDERON CASTAÑEDA
PACTO HISTÓRICO - SANTANDER,CAMILO ALFONSO TORRES PRADA
PACTO HISTÓRICO - SANTANDER,YOLANDA SILVA ROMERO
PACTO HISTÓRICO - SANTANDER,JUAN DE DIOS TARAZONA MENDOZA
PACTO HISTÓRICO - SANTANDER,MARIA ADALGIZA VELASQUEZ
PACTO HISTÓRICO - SANTANDER,HERMES ANDRES PARRA GUZMAN
PACTO HISTÓRICO - SANTANDER,MARIA CRISTINA OBREGON CARRILLO
PARTIDO LIBERAL COLOMBIANO,CRISTIAN ANDRES ARGUELLO CALDERON
PARTIDO LIBERAL COLOMBIANO,MARIO JOSE CARVAJAL JAIMES
PARTIDO LIBERAL COLOMBIANO,CARLOS LUIS ANAYA VEGA
PARTIDO LIBERAL COLOMBIANO,LUISA ADRIANA HERNANDEZ NARANJO
PARTIDO LIBERAL COLOMBIANO,LADY JOHANNA GOMEZ DIAZ
PARTIDO LIBERAL COLOMBIANO,KELLY JULIANA NAVAS HERNANDEZ
PARTIDO LIBERAL COLOMBIANO,JAIRO DEMIS TOQUICA AGUILAR
VERDE EN MARCHA,LUIS FERLEY SIERRA JAIMES
VERDE EN MARCHA,DANIS MARIBEL AYALA SERRANO
VERDE EN MARCHA,YESICA YENIRE RAVELO GARCIA
VERDE EN MARCHA,CARLOS FERNANDO SOTOMONTE GARAVITO
VERDE EN MARCHA,JONATHAN LEONARDO DELGADO NEIRA
VERDE EN MARCHA,CARLOS FELIPE PARRA ROJAS
VERDE EN MARCHA,ANGIE TATIANA NIÑO RIVAS
AHORA COLOMBIA,JAVIER ALONSO VILLAMIZAR SUAREZ
AHORA COLOMBIA,NIXON YECID GUZMAN BUILES
AHORA COLOMBIA,CARLOS ROBERTO ALEXANDER AVILA AGUILAR
AHORA COLOMBIA,LUIS ROBERTO SCHMALBACH CRUZ
AHORA COLOMBIA,LAURA CRISTINA HERRERA LA ROTTA
AHORA COLOMBIA,KENDY YULAY JAIMES CARRILLO
AHORA COLOMBIA,MARIA FERNANDA ESTUPIÑAN TARAZONA
AVANZA,ALEIDA NOGUERA PUERTO
AVANZA,JENNYFER ALMEIDA CARRILLO
AVANZA,LUDWING MANTILLA CASTRO
AVANZA,YESID LEONARDO SILVA PARADA
AVANZA,KARINA CHACON DIAZ
AVANZA,WILLIAM MAURICIO TORRES CARDENAS
COALICIÓN FUERZA CIUDADANA,DANIEL ANDRES PEREZ VILLABONA
COALICIÓN FUERZA CIUDADANA,JAIRO REINALDO CALA SUAREZ
COALICIÓN FUERZA CIUDADANA,JAIME ROJAS LOPEZ
COALICIÓN FUERZA CIUDADANA,LUZ DARY LILIANA CORDOBA SUAREZ
COALICIÓN FUERZA CIUDADANA,YANETH CECILIA ALDANA VARGAS
COALICIÓN FUERZA CIUDADANA,ELBERT VARGAS CUBIDES
